start=648650ms stop=649465ms speaker_SPEAKER_10
start=649736ms stop=650008ms speaker_SPEAKER_04
start=650314ms stop=651910ms speaker_SPEAKER_03
start=652487ms stop=654354ms speaker_SPEAKER_14
start=654694ms stop=655628ms speaker_SPEAKER_10
start=655916ms stop=657427ms speaker_SPEAKER_14
start=658242ms stop=658904ms speaker_SPEAKER_14
start=659193ms stop=666952ms speaker_SPEAKER_14
start=666952ms stop=674796ms speaker_SPEAKER_13
start=674796ms stop=674813ms speaker_SPEAKER_10
start=675000ms stop=683998ms speaker_SPEAKER_04
start=683998ms stop=685441ms speaker_SPEAKER_14
start=685441ms stop=685475ms speaker_SPEAKER_04
start=685764ms stop=688989ms speaker_SPEAKER_04
start=689617ms stop=690942ms speaker_SPEAKER_04
start=691027ms stop=692877ms speaker_SPEAKER_03
start=693488ms stop=696103ms speaker_SPEAKER_03
start=696850ms stop=700161ms speaker_SPEAKER_03
start=702606ms stop=709261ms speaker_SPEAKER_04
start=709380ms stop=714100ms speaker_SPEAKER_10
start=714151ms stop=717359ms speaker_SPEAKER_03
start=716494ms stop=717054ms speaker_SPEAKER_04
start=717054ms stop=717105ms speaker_SPEAKER_10
start=717105ms stop=717258ms speaker_SPEAKER_04
start=717258ms stop=717563ms speaker_SPEAKER_10
start=717359ms stop=717461ms speaker_SPEAKER_04
start=717461ms stop=718225ms speaker_SPEAKER_03
start=718446ms stop=719414ms speaker_SPEAKER_04
start=719940ms stop=725322ms speaker_SPEAKER_04
start=725322ms stop=726426ms speaker_SPEAKER_10
start=727580ms stop=728803ms speaker_SPEAKER_04
start=728921ms stop=732792ms speaker_SPEAKER_10
start=733522ms stop=735899ms speaker_SPEAKER_10
start=736018ms stop=738022ms speaker_SPEAKER_04
start=738208ms stop=745475ms speaker_SPEAKER_10
start=745611ms stop=748769ms speaker_SPEAKER_03
start=748718ms stop=750517ms speaker_SPEAKER_10
start=750602ms stop=755458ms speaker_SPEAKER_03
start=755679ms stop=757037ms speaker_SPEAKER_10
start=757308ms stop=758803ms speaker_SPEAKER_03
start=759193ms stop=761146ms speaker_SPEAKER_03
start=761230ms stop=766511ms speaker_SPEAKER_03
start=766765ms stop=772962ms speaker_SPEAKER_03
start=774813ms stop=775560ms speaker_SPEAKER_04
start=776001ms stop=777258ms speaker_SPEAKER_04
start=777444ms stop=780670ms speaker_SPEAKER_04
start=780874ms stop=782640ms speaker_SPEAKER_04
start=783268ms stop=785373ms speaker_SPEAKER_04
start=785526ms stop=788752ms speaker_SPEAKER_04
start=788938ms stop=789685ms speaker_SPEAKER_10
start=789855ms stop=797241ms speaker_SPEAKER_10
start=797444ms stop=802843ms speaker_SPEAKER_04
start=803149ms stop=805611ms speaker_SPEAKER_10
start=806103ms stop=806714ms speaker_SPEAKER_04
start=807393ms stop=809244ms speaker_SPEAKER_04
start=809431ms stop=811213ms speaker_SPEAKER_04
start=811434ms stop=813743ms speaker_SPEAKER_04
start=814524ms stop=815067ms speaker_SPEAKER_04
start=815169ms stop=816578ms speaker_SPEAKER_04
start=817003ms stop=817071ms speaker_SPEAKER_12
start=817920ms stop=821587ms speaker_SPEAKER_12
start=821587ms stop=821723ms speaker_SPEAKER_14
start=821723ms stop=821791ms speaker_SPEAKER_12
start=821791ms stop=821893ms speaker_SPEAKER_14
start=821893ms stop=821994ms speaker_SPEAKER_12
start=821994ms stop=826494ms speaker_SPEAKER_14
start=826663ms stop=827733ms speaker_SPEAKER_14
start=828582ms stop=829991ms speaker_SPEAKER_14
start=829991ms stop=833132ms speaker_SPEAKER_04
start=833743ms stop=836952ms speaker_SPEAKER_04
start=837071ms stop=837614ms speaker_SPEAKER_10
start=837835ms stop=840806ms speaker_SPEAKER_04
start=841332ms stop=845865ms speaker_SPEAKER_04
start=846035ms stop=850806ms speaker_SPEAKER_04
start=852079ms stop=855628ms speaker_SPEAKER_03
start=855628ms stop=856443ms speaker_SPEAKER_10
start=857784ms stop=858480ms speaker_SPEAKER_03
start=858480ms stop=860263ms speaker_SPEAKER_10
start=860093ms stop=861553ms speaker_SPEAKER_03
start=861706ms stop=864151ms speaker_SPEAKER_10
start=864219ms stop=865797ms speaker_SPEAKER_03
start=866290ms stop=870127ms speaker_SPEAKER_03
start=870738ms stop=872538ms speaker_SPEAKER_03
start=872979ms stop=875305ms speaker_SPEAKER_03
start=875679ms stop=875916ms speaker_SPEAKER_03
start=876239ms stop=877359ms speaker_SPEAKER_03
start=877393ms stop=877427ms speaker_SPEAKER_03
start=877495ms stop=881230ms speaker_SPEAKER_03
start=881621ms stop=883709ms speaker_SPEAKER_10
start=884439ms stop=889278ms speaker_SPEAKER_14
start=889533ms stop=893183ms speaker_SPEAKER_10
start=893183ms stop=897580ms speaker_SPEAKER_14
start=897801ms stop=901502ms speaker_SPEAKER_10
start=901876ms stop=902877ms speaker_SPEAKER_14
start=903098ms stop=917325ms speaker_SPEAKER_14
start=917903ms stop=919125ms speaker_SPEAKER_14
start=919482ms stop=929516ms speaker_SPEAKER_03
start=929855ms stop=930755ms speaker_SPEAKER_03
start=931146ms stop=933998ms speaker_SPEAKER_03
start=933998ms stop=940161ms speaker_SPEAKER_04
start=940619ms stop=945067ms speaker_SPEAKER_04
start=945577ms stop=947546ms speaker_SPEAKER_04
start=947546ms stop=948039ms speaker_SPEAKER_03
start=948039ms stop=948089ms speaker_SPEAKER_04
start=948089ms stop=948123ms speaker_SPEAKER_03
start=948123ms stop=948157ms speaker_SPEAKER_04
start=948157ms stop=948174ms speaker_SPEAKER_03
start=948174ms stop=948242ms speaker_SPEAKER_04
start=948242ms stop=948378ms speaker_SPEAKER_03
start=948378ms stop=948548ms speaker_SPEAKER_04
start=948548ms stop=948582ms speaker_SPEAKER_03
start=948582ms stop=948684ms speaker_SPEAKER_04
start=949295ms stop=949550ms speaker_SPEAKER_04
start=949821ms stop=952470ms speaker_SPEAKER_04
start=952283ms stop=954813ms speaker_SPEAKER_10
start=955203ms stop=957258ms speaker_SPEAKER_10
start=957410ms stop=963539ms speaker_SPEAKER_04
start=963539ms stop=963624ms speaker_SPEAKER_03
start=963624ms stop=963641ms speaker_SPEAKER_04
start=963641ms stop=963726ms speaker_SPEAKER_03
start=963862ms stop=963879ms speaker_SPEAKER_04
start=963879ms stop=963981ms speaker_SPEAKER_03
start=963981ms stop=963998ms speaker_SPEAKER_04
start=963998ms stop=964405ms speaker_SPEAKER_03
start=964405ms stop=964422ms speaker_SPEAKER_10
start=964422ms stop=964456ms speaker_SPEAKER_04
start=964456ms stop=965645ms speaker_SPEAKER_10
start=966018ms stop=969193ms speaker_SPEAKER_03
start=969346ms stop=969753ms speaker_SPEAKER_03
