start=470076ms stop=470212ms speaker_SPEAKER_02
start=470212ms stop=470500ms speaker_SPEAKER_00
start=475033ms stop=475135ms speaker_SPEAKER_00
start=475135ms stop=475254ms speaker_SPEAKER_06
start=475254ms stop=475526ms speaker_SPEAKER_00
start=485458ms stop=488395ms speaker_SPEAKER_01
start=485543ms stop=485577ms speaker_SPEAKER_00
start=485577ms stop=486001ms speaker_SPEAKER_03
start=486001ms stop=486103ms speaker_SPEAKER_00
start=488395ms stop=488548ms speaker_SPEAKER_00
start=488769ms stop=488803ms speaker_SPEAKER_00
start=488803ms stop=489006ms speaker_SPEAKER_01
start=489006ms stop=489719ms speaker_SPEAKER_00
start=489957ms stop=490348ms speaker_SPEAKER_00
start=490348ms stop=491570ms speaker_SPEAKER_01
start=490891ms stop=496018ms speaker_SPEAKER_00
start=496324ms stop=496341ms speaker_SPEAKER_00
start=496341ms stop=503658ms speaker_SPEAKER_01
start=500093ms stop=500942ms speaker_SPEAKER_00
start=503930ms stop=506409ms speaker_SPEAKER_01
start=508633ms stop=508650ms speaker_SPEAKER_01
start=508650ms stop=510534ms speaker_SPEAKER_00
start=509855ms stop=510551ms speaker_SPEAKER_01
start=510551ms stop=510721ms speaker_SPEAKER_00
start=510721ms stop=510891ms speaker_SPEAKER_01
start=510891ms stop=524728ms speaker_SPEAKER_00
start=512707ms stop=512962ms speaker_SPEAKER_01
start=515645ms stop=516001ms speaker_SPEAKER_06
start=524728ms stop=525458ms speaker_SPEAKER_06
start=525458ms stop=525475ms speaker_SPEAKER_01
start=525475ms stop=525509ms speaker_SPEAKER_00
start=525594ms stop=547461ms speaker_SPEAKER_00
start=547614ms stop=548497ms speaker_SPEAKER_00
start=548582ms stop=571926ms speaker_SPEAKER_00
start=549770ms stop=550382ms speaker_SPEAKER_06
start=554066ms stop=554168ms speaker_SPEAKER_01
start=554168ms stop=554202ms speaker_SPEAKER_06
start=554439ms stop=554847ms speaker_SPEAKER_01
start=558599ms stop=559227ms speaker_SPEAKER_01
start=570076ms stop=570483ms speaker_SPEAKER_01
start=571587ms stop=574847ms speaker_SPEAKER_01
start=576375ms stop=600670ms speaker_SPEAKER_00
start=593641ms stop=594117ms speaker_SPEAKER_06
start=600874ms stop=601825ms speaker_SPEAKER_00
start=601349ms stop=604337ms speaker_SPEAKER_01
start=604422ms stop=607393ms speaker_SPEAKER_01
start=607665ms stop=609023ms speaker_SPEAKER_00
start=608446ms stop=625424ms speaker_SPEAKER_01
start=609244ms stop=610127ms speaker_SPEAKER_00
start=625067ms stop=625118ms speaker_SPEAKER_00
start=625118ms stop=625390ms speaker_SPEAKER_06
start=625390ms stop=626477ms speaker_SPEAKER_00
start=626477ms stop=626494ms speaker_SPEAKER_01
start=626494ms stop=631078ms speaker_SPEAKER_00
start=630517ms stop=631672ms speaker_SPEAKER_01
start=631672ms stop=631706ms speaker_SPEAKER_00
start=631706ms stop=631740ms speaker_SPEAKER_01
start=632232ms stop=633013ms speaker_SPEAKER_01
start=633013ms stop=636188ms speaker_SPEAKER_00
start=636731ms stop=637410ms speaker_SPEAKER_00
start=637529ms stop=646680ms speaker_SPEAKER_00
start=647037ms stop=648650ms speaker_SPEAKER_00
start=648887ms stop=685000ms speaker_SPEAKER_00
start=653319ms stop=653794ms speaker_SPEAKER_06
start=685254ms stop=686528ms speaker_SPEAKER_00
start=686612ms stop=687003ms speaker_SPEAKER_00
start=687003ms stop=700993ms speaker_SPEAKER_01
start=700993ms stop=701689ms speaker_SPEAKER_00
start=701893ms stop=704745ms speaker_SPEAKER_00
start=705033ms stop=755203ms speaker_SPEAKER_01
start=709006ms stop=710008ms speaker_SPEAKER_00
start=710008ms stop=710348ms speaker_SPEAKER_06
start=710348ms stop=710415ms speaker_SPEAKER_00
start=710415ms stop=710755ms speaker_SPEAKER_06
start=710755ms stop=710993ms speaker_SPEAKER_00
start=710993ms stop=711638ms speaker_SPEAKER_06
start=711638ms stop=711655ms speaker_SPEAKER_00
start=711655ms stop=711689ms speaker_SPEAKER_06
start=756001ms stop=762011ms speaker_SPEAKER_01
start=762402ms stop=779091ms speaker_SPEAKER_01
start=779193ms stop=793658ms speaker_SPEAKER_01
start=780144ms stop=780415ms speaker_SPEAKER_06
start=791332ms stop=792368ms speaker_SPEAKER_00
start=792368ms stop=792385ms speaker_SPEAKER_06
start=793709ms stop=798191ms speaker_SPEAKER_01
start=798276ms stop=803777ms speaker_SPEAKER_00
start=803777ms stop=804490ms speaker_SPEAKER_01
start=804490ms stop=807308ms speaker_SPEAKER_00
start=807529ms stop=812911ms speaker_SPEAKER_00
start=812215ms stop=820008ms speaker_SPEAKER_01
start=813947ms stop=815322ms speaker_SPEAKER_00
start=817835ms stop=818327ms speaker_SPEAKER_00
start=820212ms stop=825882ms speaker_SPEAKER_01
