start=776867ms stop=786544ms speaker_SPEAKER_05
start=786544ms stop=790959ms speaker_SPEAKER_02
start=791536ms stop=794796ms speaker_SPEAKER_02
start=795084ms stop=803624ms speaker_SPEAKER_02
start=805424ms stop=813573ms speaker_SPEAKER_02
start=808667ms stop=809770ms speaker_SPEAKER_05
start=812351ms stop=813624ms speaker_SPEAKER_05
start=813828ms stop=814185ms speaker_SPEAKER_02
start=814422ms stop=815152ms speaker_SPEAKER_05
start=815899ms stop=820127ms speaker_SPEAKER_05
start=820314ms stop=821162ms speaker_SPEAKER_05
start=821451ms stop=822300ms speaker_SPEAKER_02
start=823505ms stop=825000ms speaker_SPEAKER_02
start=823539ms stop=824066ms speaker_SPEAKER_05
start=824490ms stop=825882ms speaker_SPEAKER_05
start=826239ms stop=831926ms speaker_SPEAKER_05
start=833030ms stop=834575ms speaker_SPEAKER_02
start=835967ms stop=837784ms speaker_SPEAKER_02
start=838225ms stop=898242ms speaker_SPEAKER_02
start=843760ms stop=844609ms speaker_SPEAKER_07
start=872809ms stop=873013ms speaker_SPEAKER_07
start=899057ms stop=960534ms speaker_SPEAKER_02
start=933760ms stop=934134ms speaker_SPEAKER_07
start=961061ms stop=972164ms speaker_SPEAKER_02
start=972164ms stop=972792ms speaker_SPEAKER_05
start=972928ms stop=973726ms speaker_SPEAKER_05
start=974202ms stop=976052ms speaker_SPEAKER_02
start=977207ms stop=979295ms speaker_SPEAKER_05
start=979295ms stop=981604ms speaker_SPEAKER_02
start=982215ms stop=984830ms speaker_SPEAKER_02
start=984830ms stop=999634ms speaker_SPEAKER_05
start=999821ms stop=1002640ms speaker_SPEAKER_05
start=1002741ms stop=1003675ms speaker_SPEAKER_05
start=1003981ms stop=1016273ms speaker_SPEAKER_05
start=1016375ms stop=1018039ms speaker_SPEAKER_02
start=1018191ms stop=1022521ms speaker_SPEAKER_05
start=1022809ms stop=1023268ms speaker_SPEAKER_05
start=1022996ms stop=1024015ms speaker_SPEAKER_02
start=1024202ms stop=1026629ms speaker_SPEAKER_05
start=1026952ms stop=1027699ms speaker_SPEAKER_02
start=1029533ms stop=1031570ms speaker_SPEAKER_02
start=1031400ms stop=1032945ms speaker_SPEAKER_05
start=1033268ms stop=1036409ms speaker_SPEAKER_02
start=1036544ms stop=1037088ms speaker_SPEAKER_05
start=1037207ms stop=1043539ms speaker_SPEAKER_02
start=1043794ms stop=1046392ms speaker_SPEAKER_02
start=1047190ms stop=1047648ms speaker_SPEAKER_02
start=1048887ms stop=1056544ms speaker_SPEAKER_02
start=1057071ms stop=1060025ms speaker_SPEAKER_02
start=1060432ms stop=1061349ms speaker_SPEAKER_05
start=1061757ms stop=1063488ms speaker_SPEAKER_02
start=1063624ms stop=1065560ms speaker_SPEAKER_05
start=1065814ms stop=1097852ms speaker_SPEAKER_02
start=1098123ms stop=1099787ms speaker_SPEAKER_05
start=1099957ms stop=1121213ms speaker_SPEAKER_02
start=1121146ms stop=1127580ms speaker_SPEAKER_05
start=1127869ms stop=1136833ms speaker_SPEAKER_05
start=1137003ms stop=1157937ms speaker_SPEAKER_02
start=1159193ms stop=1167275ms speaker_SPEAKER_02
start=1167275ms stop=1167665ms speaker_SPEAKER_07
start=1167665ms stop=1167682ms speaker_SPEAKER_02
start=1167750ms stop=1194558ms speaker_SPEAKER_02
start=1192945ms stop=1197648ms speaker_SPEAKER_05
start=1197920ms stop=1202317ms speaker_SPEAKER_05
start=1202419ms stop=1205390ms speaker_SPEAKER_05
start=1205458ms stop=1207241ms speaker_SPEAKER_05
start=1207444ms stop=1208446ms speaker_SPEAKER_05
start=1208022ms stop=1222707ms speaker_SPEAKER_02
start=1222860ms stop=1223370ms speaker_SPEAKER_07
start=1222945ms stop=1247393ms speaker_SPEAKER_02
start=1244864ms stop=1246799ms speaker_SPEAKER_05
start=1247784ms stop=1265339ms speaker_SPEAKER_02
start=1265577ms stop=1284117ms speaker_SPEAKER_02
start=1284202ms stop=1295645ms speaker_SPEAKER_02
start=1295797ms stop=1311179ms speaker_SPEAKER_02
start=1311468ms stop=1357614ms speaker_SPEAKER_02
start=1357869ms stop=1358429ms speaker_SPEAKER_07
start=1358361ms stop=1364660ms speaker_SPEAKER_02
start=1364779ms stop=1384439ms speaker_SPEAKER_02
start=1384609ms stop=1385288ms speaker_SPEAKER_07
start=1385000ms stop=1411672ms speaker_SPEAKER_02
start=1411757ms stop=1437971ms speaker_SPEAKER_02
start=1439159ms stop=1447376ms speaker_SPEAKER_02
start=1446663ms stop=1446680ms speaker_SPEAKER_01
start=1446680ms stop=1447105ms speaker_SPEAKER_07
start=1447105ms stop=1447139ms speaker_SPEAKER_01
start=1447580ms stop=1524032ms speaker_SPEAKER_02
start=1524388ms stop=1546426ms speaker_SPEAKER_02
start=1546443ms stop=1552266ms speaker_SPEAKER_02
start=1552606ms stop=1555305ms speaker_SPEAKER_02
start=1555492ms stop=1555984ms speaker_SPEAKER_05
start=1556392ms stop=1557971ms speaker_SPEAKER_02
start=1558361ms stop=1558752ms speaker_SPEAKER_05
start=1559940ms stop=1564219ms speaker_SPEAKER_05
start=1564541ms stop=1568735ms speaker_SPEAKER_05
start=1569057ms stop=1575797ms speaker_SPEAKER_05
start=1569295ms stop=1569889ms speaker_SPEAKER_07
start=1576171ms stop=1579329ms speaker_SPEAKER_05
start=1579499ms stop=1583404ms speaker_SPEAKER_05
start=1583743ms stop=1610144ms speaker_SPEAKER_02
start=1610382ms stop=1638684ms speaker_SPEAKER_02
start=1638684ms stop=1639193ms speaker_SPEAKER_07
start=1638701ms stop=1638718ms speaker_SPEAKER_02
start=1639533ms stop=1646663ms speaker_SPEAKER_02
start=1646748ms stop=1665713ms speaker_SPEAKER_02
start=1666239ms stop=1668938ms speaker_SPEAKER_02
start=1669227ms stop=1670076ms speaker_SPEAKER_05
start=1670398ms stop=1671010ms speaker_SPEAKER_05
start=1671061ms stop=1671078ms speaker_SPEAKER_01
start=1671078ms stop=1671706ms speaker_SPEAKER_02
start=1671960ms stop=1683166ms speaker_SPEAKER_05
start=1682555ms stop=1683234ms speaker_SPEAKER_02
start=1683234ms stop=1683641ms speaker_SPEAKER_05
start=1683641ms stop=1683930ms speaker_SPEAKER_02
start=1683930ms stop=1683998ms speaker_SPEAKER_05
start=1683998ms stop=1684100ms speaker_SPEAKER_02
start=1684100ms stop=1684185ms speaker_SPEAKER_05
start=1684185ms stop=1684252ms speaker_SPEAKER_02
start=1684252ms stop=1684626ms speaker_SPEAKER_05
start=1684626ms stop=1684711ms speaker_SPEAKER_02
